project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (minutes)
ReactiveX/RxJava,T,7.6.2,5,13149,12389,14,746,148
apache/kafka:clients,T,8.5,error,,,,,84
apache/kafka:connect,T,8.5,error,,,,,84
apache/kafka:core,T,8.5,error,,,,,85
apache/kafka:examples,T,8.5,error,,,,,85
apache/kafka:generator,T,8.5,error,,,,,85
apache/kafka:group-coordinator,T,8.5,error,,,,,85
apache/kafka:jmh-benchmarks,T,8.5,error,,,,,85
apache/kafka:log4j-appender,T,8.5,error,,,,,85
apache/kafka:metadata,T,8.5,error,,,,,86
apache/kafka:raft,T,8.5,error,,,,,86
apache/kafka:server,T,8.5,error,,,,,86
apache/kafka:server-common,T,8.5,error,,,,,86
apache/kafka:shell,T,8.5,error,,,,,86
apache/kafka:storage,T,8.5,error,,,,,86
apache/kafka:streams,T,8.5,error,,,,,86
apache/kafka:tools,T,8.5,error,,,,,87
apache/kafka:trogdor,T,8.5,error,,,,,87
Netflix/Hystrix:hystrix-clj,T,8.1.1,no test,,,,,4
Netflix/Hystrix:hystrix-codahale-metrics-publisher,T,8.1.1,0,2,1,1,0,4
Netflix/Hystrix:hystrix-core,T,8.1.1,11,654,653,0,1,41
Netflix/Hystrix:hystrix-examples,T,8.1.1,no test,,,,,41
Netflix/Hystrix:hystrix-examples-webapp,T,8.1.1,no test,,,,,41
Netflix/Hystrix:hystrix-javanica,T,8.1.1,error,,,,,41
Netflix/Hystrix:hystrix-junit,T,8.1.1,0,2,2,0,0,42
Netflix/Hystrix:hystrix-metrics-event-stream,T,8.1.1,0,8,1,7,0,42
Netflix/Hystrix:hystrix-metrics-event-stream-jaxrs,T,8.1.1,0,10,10,0,0,45
Netflix/Hystrix:hystrix-network-auditor-agent,T,8.1.1,no test,,,,,45
Netflix/Hystrix:hystrix-request-servlet,T,8.1.1,no test,,,,,45
Netflix/Hystrix:hystrix-rx-netty-metrics-stream,T,8.1.1,0,1,0,1,0,45
Netflix/Hystrix:hystrix-serialization,T,8.1.1,0,22,22,0,0,46
Netflix/Hystrix:hystrix-servo-metrics-publisher,T,8.1.1,0,3,3,0,0,47
Netflix/Hystrix:hystrix-yammer-metrics-publisher,T,8.1.1,no test,,,,,47
williamfiset/Algorithms,F,7.4.2,N/A,,,,,2
Grasscutters/Grasscutter,T,7.4.2,error,0,0,0,0,26
elastic/logstash:benchmark-cli,T,8.5,0,2,2,0,0,16
elastic/logstash:dependencies-report,T,8.5,0,7,7,0,0,18
elastic/logstash:ingest-converter,T,8.5,0,56,56,0,0,19
elastic/logstash:jvm-options-parser,T,8.5,0,9,9,0,0,20
elastic/logstash:logstash-core,T,8.5,no test,,,,,28
elastic/logstash:logstash-core-benchmarks,T,8.5,no test,,,,,29
elastic/logstash:logstash-integration-tests,T,8.5,no test,,,,,30
elastic/logstash:logstash-xpack,T,8.5,no test,,,,,34
